FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category,H2_required,el_size_approx,NG_usd_per_mmbtu,NG_usd_per_kwh
1982,3599,117,SPECIAL MACHINES,5700,10614,2357,2.49E+12,690768.5124,121.1874583,0.121187458,Chemicals_Dryer,20725.12788,0.157590973,0.222065197,0.015365495
2002,3861,60,Photoreceptors for laser printers and copiers,8568,22200,2315,2.44E+12,678459.5274,79.18528565,0.079185286,Chemicals_Dryer,20355.8214,0.102971763,0.104279279,0.032721185
2011,3321,20,Gray and Ductile Castings,2500,26565,2225,2.35E+12,652083.1311,260.8332525,0.260833252,Metal_Oven,19564.45038,0.339184983,0.083756823,0.040738671
1984,3321,50,GRAY IRON CASTINGS,1400,12401,2180,2.3E+12,638894.933,456.3535236,0.456353524,Metal_Oven,19168.76487,0.593437612,0.175792275,0.019410077
2010,3444,35,sheet metal products,4769,22849,2169,2.29E+12,635671.1512,133.2923362,0.133292336,Metal_Oven,19072.04174,0.173332036,0.094927568,0.035944686
1992,2679,100,FAST FOOD PAPER PACKAGE,7200,9531,2140,2.26E+12,627172.0902,87.10723475,0.087107235,FD_Boiler,18817.04441,0.113273388,0.224530479,0.015196786
2001,3714,230,Motor Vehicle Parts,2400,12702,2086,2.2E+12,611346.2524,254.7276052,0.254727605,Metal_Oven,18342.22179,0.33124526,0.164226106,0.020777096
2006,3053,130,Aluminum and Steel,4400,23093,2053,2.17E+12,601674.9071,136.7442971,0.136744297,Metal_Oven,18052.05242,0.177820932,0.088901399,0.038381192
2019,3451,50,Screw Machine Products,6000,16252,2030,2.14E+12,594934.2724,99.15571207,0.099155712,Chemicals_Dryer,17849.81315,0.128941108,0.124907704,0.027317303
1988,3443,80,CUSTOM METAL FABRICATION,4600,9082,2030,2.14E+12,594934.2724,129.3335375,0.129333537,Metal_Oven,17849.81315,0.168184053,0.223519049,0.015265552
1988,3443,80,CUSTOM METAL FABRICATION,4600,9082,2030,2.14E+12,594934.2724,129.3335375,0.129333537,Metal_Oven,17849.81315,0.168184053,0.223519049,0.015265552
1997,3444,24,Specialty Steel Products,2750,10135,1990,2.1E+12,583211.4296,212.0768835,0.212076884,Metal_Oven,17498.0927,0.275782684,0.196349285,0.017377917
1992,3651,182,SOUND SYSTEMS (AUTOS),2160,8965,1990,2.1E+12,583211.4296,270.0052915,0.270005292,Chemicals_Dryer,17498.0927,0.351112213,0.221974345,0.015371784
1985,3451,95,SCREW MACHINE PRODUCTS,6500,11422,1976,2.08E+12,579108.4347,89.09360533,0.089093605,Chemicals_Dryer,17374.99054,0.115856443,0.172999475,0.019723422
1994,2522,30,metal cabinets,3000,9853,1950,2.06E+12,571488.5868,190.4961956,0.190496196,Metal_Oven,17146.37224,0.247719371,0.197909266,0.017240939
1989,3544,76,SHEET METAL STAMPING DIE,5300,8094,1866,1.97E+12,546870.6169,103.1831353,0.103183135,Metal_Oven,16407.75928,0.134178329,0.230541142,0.014800576
2002,3643,230,Aluminum electrical connectors,4820,18147,1865,1.97E+12,546577.5459,113.3978311,0.113397831,Metal_Oven,16398.96627,0.147461419,0.102771808,0.033201144
1999,3271,7,Cinder and concrete blocks,2500,9115,1859,1.96E+12,544819.1195,217.9276478,0.217927648,Chemicals_Dryer,16346.20821,0.28339096,0.203949534,0.016730323
2023,2891,100,Polymer Sealants,6240,27157,1841,1.94E+12,539543.8402,86.465359,0.086465359,Chemicals_Dryer,16187.934,0.112438698,0.067790993,0.050333259
1993,3544,153,"blades, vanes, blisks, vane disk",8400,8185,1839,1.94E+12,538957.698,64.16163072,0.064161631,Metal_Oven,16170.34797,0.083435151,0.224679291,0.015186721
2013,3465,58,Metal Stamping products,4940,17831,1822,1.92E+12,533975.4899,108.0922044,0.108092204,Metal_Oven,16020.86678,0.140562034,0.102181594,0.033392918
2007,3523,25,Farm Machinery,2250,19944,1756,1.85E+12,514632.7992,228.7256885,0.228725689,Metal_Oven,15440.52803,0.297432625,0.08804653,0.038753846
2007,3523,25,Farm Machinery,2250,19944,1756,1.85E+12,514632.7992,228.7256885,0.228725689,Metal_Oven,15440.52803,0.297432625,0.08804653,0.038753846
1998,3599,100,Automotive Parts,6800,8518,1747,1.84E+12,511995.1596,75.29340582,0.075293406,Metal_Oven,15361.39093,0.097910801,0.205095093,0.016636876
1999,3823,230,electronic measuring equipment and sensors,3000,8312,1635,1.73E+12,479171.1997,159.7237332,0.159723733,Metal_Oven,14376.57365,0.207703164,0.196703561,0.017346619
