PRODUCTS
Ethyl Alcohol Manufacturing
Float Glass
Acrylonitrile-Butadiene-Styrene (ABS) and Stryene-Acrylonitrile (SAN)
Aluminum
"Acrylonitrile, Acetonitrile, Hydrogen Cyanide "
aluminum extruded products
Lubricant Additives
glass bottles
Aluminum Wheels
felt for shingles
Steel Processing 
Laundry Equipment
Plumbing Products
Hot dip galvannealed coiled steel sheet
MOLDED INDUS. GLASS ITEM
Titanium Mill: Flat and Billet
PAPERBOARD
Coated Steel
Aluminum Castings
"Potato Chips, Corn Chips, and Similar Snacks"
Quartz Tubing and Shapes
ORGANIC CHEMICALS
High Pressure Die-Cast Aluminum Automotive Parts
Truck Assembly / Painting
Metal Based Chemicals
Steel Castings
toilet paper and paper towels
Bacon
Pharmaceutical Manufacturing and Development
"Bread, Cake, and Related Products & Cookies and Crackers"
aluminum wheels
Truck Cab / Painted Cabs / Trucks
Power transmission parts and steel die forgings
Lawn Equipment
Die-Cast Aluminum Automotive Parts
Meat Packing
Flavors
Pet's food
FORGED PRODUCTS
SPECIALTY CHEMICALS
Automobile Parts and Accessories/Appliance Products
Silicon Powder
Aluminum Sand Castings
Pork Rinds
Powertrain components
"Aluminum cylinder heads, pistons and water passages"
organic chemicals
"Steel forging, rough machining, and heat treating"
"Hydrotope, sulfonic acids"
ALUMINUM BILLETS
Aluminum beverage cans
Defense Combat Vehicles
Defense Combat Vehicles
FIBERGLASS PANEL
Pretzels and Corn Extruded Products
BURIAL CASKETS
PORCELAIN ENAMEL FEEDSTOCK
COATED PAPERS
"Rubber tiles, tread, and wall base"
Thermal Processing / Heat Treating
WELDING CONSUMABLES
"Bacon, Meatballs"
PIGMENTS FOR INK
Thermoset for Heavy Trucking
"Fabricated rubber Products, Not Elsewhere Classified"
Electroplated and coated steel
Food Manufacturing
Aluminum and zinc die castings
aluminum die castings
Animal Feed
Plastic Toys
Activated Carbon
Aluminum castings
residential roofing
Stainless steel / nickel base pump & valves castings
Wastewater Treatment
"Plastic Products, toy balls"
beer
Parchment and converting paper
"Hydraulic hose, fittings,couplings"
RECONDITIONED STEELDRUMS
Quartz Tube
Packaged Food
"Acid proof ceramics, Steel liners and packing"
Metal Forming and Coating
Automotive Coil Springs
potable water
COATINGS FOR PACKAGING
Appliance control panels and semi-truck bumpers
Labels
advertisments
SOAP AND SYNTHETICS
Prepared Meat Products
ALUMINUM BUMPERS
REFRACTORY PRODUCTS
Glass and candle products
STEEL ROLLERS
Radiators for medium and heavy duty trucks
"Turf Building, Commercial Fertilizer, EZSeed"
Fuel and oil filters
flexible packaging for food industry
"Fabricated Rubber Products, Base boards, floor tile"
Gray iron & ductile castings
Metal Cans
INORGANIC PIGMENTS
"Corrugated shipping containers, paper coating, signs and displays"
Pharmaceuticals
ELECTRIC WELDED TUBING
ACRYLIC SHEETS
Steel wire
Brakes
Machined automotive brake rotors and drums
Electric Disconnect Equipment
Adhesives and Sealants
ALUMINUM CASTINGS
Metal Closures
TITANIUM ALLOY AIR FOILS
aluminum beverage can
"Rubber, Plastic and Thermoplastic components"
Bi-Metallic Bushings and Thrust Washers
ALUMINUM DIE CASTINGS
Cast Metal
reconditioned drums
aluminum die castings
Fabricated Rubber Products
"SOAP PADS,FABRIC SOFTENER"
"Fluid Milk, Beverage, and Culture"
aluminum castings
Brake Components
KNIT GOODS
rubber vibration isolation
Foundry
Zinc and Aluminum Die Casting
ferrous alloy and aluminum castings
PROGRESSIVE CAVITY PUMPS
Food products
"Wire ,cold drawn and hot rolled steel, spring, coiling and f"
Rubber Flooring
flavors
Wood Office Furniture
Rubber Products
Laminated fiberglass Truck caps and lids
BREWERY
Aluminum Castings
"Diary (Milk, Cheese, Sour Cream)"
Pharmaceuticals
Glass Tubes
Corrugated boxes and shipping containers
Caskets
plating
Printed beverage cartons
Asphalt Products
Automotive Alternators and Starter Motors
Aircraft propellers
PAPER CONVERTING PRODCTS
Specialty Organic/Inorganic Chemicals
"Vivitrol, Aristada, Risperdal Consta, and Polymer"
Paint
"Milk, Cottage Cheese, Sour Cream, Yogurts, Beverages"
Steel drums
CORRUGATED CONTAINERS
Metal burial vaults and steel coil processing
flavoring extracts and syrups
Ice Cream and Beverages
Custom Molding of Plastic Tanks
VEG PROTEIN FOODS
Dog cat and small animal feed
CORRUGATED SHIPPING CART
Buns
"storage drums, kegs"
Coated and Laminated Paper
Commercial offset printing
Pumps
corrugated boxes
STEEL PROCESSING
Automotive Steering Components and CVT Transmission Parts
Custom bar soap products
PAPERBOARD CARTONS
refrigeration and sensor parts
Industrial and IT Enclosures
Mechanical Metal Forming Presses
"WELDERS,AIRCRFT GRD POWER"
High Speed Inkjet Printing Systems
Rigid Extrusion PVC Product
"ADHESIVE,CAULKS"
Steering Wheels and Injection Molds
"MARGARINE, SHORTENING"
Warm/cold forgings with machining
Lawn Care Equipment
corrugated shipping containers
reconditioned steel drums
"non-clay brick, special shaped refractories"
"Batteries for automotive, industrial, farm use, etc."
asphalt and roofing products
Corrugate Clamshells
Ball Bearings
ACOUSTICAL PANELS & DECK
DIE CASTINGS
Inkjet Printing Systems and Consumables
CORRUGATED CONTAINERS
gray and ductile castings
"SPICES, EXTRACTS, SAUCES"
Sub assembly logistics
Fuel and Brake Line for Auto Industry
Ice Cream and Beverages
METAL PLATING
