FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW
2003.0,3365.0,392.0,"Aluminum cylinder heads, pistons and water passages",7200.0,867604.0,159122.0,168000000000000.0,46634054.83,6476.952059,6.476952059
1997.0,2869.0,200.0,organic chemicals,8500.0,590298.0,158619.0,167000000000000.0,46486640.08,5469.01648,5.46901648
1998.0,3462.0,90.0,"Steel forging, rough machining, and heat treating",4590.0,589484.0,157984.0,167000000000000.0,46300539.95,10087.26361,10.08726361
2006.0,2843.0,48.0,"Hydrotope, sulfonic acids",8400.0,1182859.0,156798.0,165000000000000.0,45952957.66,5470.590198,5.470590198
1983.0,3355.0,150.0,ALUMINUM BILLETS,4160.0,675520.0,153376.0,162000000000000.0,44950068.46,10805.30492,10.80530492
2003.0,3411.0,118.0,Aluminum beverage cans,8568.0,761108.0,148860.0,157000000000000.0,43626559.51,5091.801996,5.091801996
2015.0,3795.0,450.0,Defense Combat Vehicles,2125.0,662576.0,146030.0,154000000000000.0,42797168.38,20139.84394,20.13984394
2013.0,3795.0,550.0,Defense Combat Vehicles,2125.0,662576.0,145461.0,153000000000000.0,42630410.94,20061.36985,20.06136985
1991.0,2821.0,130.0,FIBERGLASS PANEL,6000.0,361083.0,144998.0,153000000000000.0,42494719.03,7082.453172,7.082453172
2004.0,2052.0,240.0,Pretzels and Corn Extruded Products,6490.0,780411.0,143968.0,152000000000000.0,42192855.83,6501.210452,6.501210452
1990.0,3995.0,487.0,BURIAL CASKETS,4300.0,404702.0,138461.0,146000000000000.0,40578913.45,9436.956616,9.436956616
1989.0,2899.0,88.0,PORCELAIN ENAMEL FEEDSTOCK,6000.0,430024.0,138038.0,146000000000000.0,40454944.38,6742.490731,6.742490731
1984.0,2672.0,371.0,COATED PAPERS,7500.0,738910.0,135961.0,143000000000000.0,39846235.77,5312.831436,5.312831436
2016.0,3069.0,300.0,"Rubber tiles, tread, and wall base",6528.0,712648.0,132796.0,140000000000000.0,38918665.83,5961.805428,5.961805428
2006.0,3398.0,26.0,Thermal Processing / Heat Treating,8760.0,1180849.0,132583.0,140000000000000.0,38856241.7,4435.644029,4.435644029
1989.0,3548.0,375.0,WELDING CONSUMABLES,6000.0,546095.0,130023.0,137000000000000.0,38105979.76,6350.996626,6.350996626
2013.0,2013.0,400.0,"Bacon, Meatballs",7344.0,554744.0,129035.0,136000000000000.0,37816425.54,5149.295417,5.149295417
1986.0,2816.0,200.0,PIGMENTS FOR INK,8400.0,599149.0,127555.0,135000000000000.0,37382680.36,4450.31909,4.45031909
2017.0,3061.0,368.0,Thermoset for Heavy Trucking,6000.0,457010.0,124900.0,132000000000000.0,36604576.66,6100.762777,6.100762777
2024.0,3069.0,110.0,"Fabricated rubber Products, Not Elsewhere Classified",6000.0,553772.0,124152.0,131000000000000.0,36385359.5,6064.226584,6.064226584
2005.0,3316.0,160.0,Electroplated and coated steel,4800.0,524089.0,122265.0,129000000000000.0,35832334.39,7465.069666,7.465069666
2024.0,2099.0,500.0,Food Manufacturing,6240.0,521925.0,119099.0,126000000000000.0,34904471.39,5593.665286,5.593665286
2005.0,3363.0,208.0,Aluminum and zinc die castings,4050.0,1110171.0,118841.0,125000000000000.0,34828859.05,8599.718284,8.599718284
2000.0,3363.0,318.0,aluminum die castings,8400.0,449183.0,117763.0,124000000000000.0,34512928.44,4108.681957,4.108681957
2008.0,2048.0,72.0,Animal Feed,7200.0,864138.0,117143.0,124000000000000.0,34331224.37,4768.225607,4.768225607
2011.0,3089.0,483.0,Plastic Toys,8400.0,809208.0,116895.0,123000000000000.0,34258542.75,4078.397946,4.078397946
2013.0,2819.0,50.0,Activated Carbon,8760.0,425139.0,116168.0,123000000000000.0,34045480.08,3886.470329,3.886470329
1999.0,3365.0,300.0,Aluminum castings,3920.0,362868.0,111686.0,118000000000000.0,32731935.54,8349.983557,8.349983557
1996.0,2952.0,120.0,residential roofing,8500.0,271801.0,109909.0,116000000000000.0,32211148.25,3789.546853,3.789546853
2003.0,3325.0,114.0,Stainless steel / nickel base pump & valves castings,5250.0,611730.0,109055.0,115000000000000.0,31960865.56,6087.783916,6.087783916
2018.0,4952.0,45.0,Wastewater Treatment,8736.0,494516.0,108488.0,114000000000000.0,31794694.26,3639.502548,3.639502548
1997.0,3089.0,300.0,"Plastic Products, toy balls",6480.0,355377.0,107888.0,114000000000000.0,31618851.62,4879.45241,4.87945241
2012.0,2082.0,110.0,beer,8400.0,496353.0,103893.0,110000000000000.0,30448032.69,3624.765797,3.624765797
2009.0,2679.0,160.0,Parchment and converting paper,7200.0,1204727.0,102506.0,108000000000000.0,30041543.12,4172.436544,4.172436544
2011.0,3089.0,500.0,"Hydraulic hose, fittings,couplings",6000.0,554732.0,100050.0,106000000000000.0,29321760.57,4886.960095,4.886960095
1985.0,3412.0,200.0,RECONDITIONED STEELDRUMS,3120.0,490835.0,98569.0,104000000000000.0,28887722.32,9258.885358,9.258885358
2014.0,3297.0,50.0,Quartz Tube,8760.0,578072.0,97823.0,103000000000000.0,28669091.3,3272.727317,3.272727317
2011.0,2032.0,365.0,Packaged Food,6000.0,616722.0,96888.0,102000000000000.0,28395069.85,4732.511641,4.732511641
2002.0,3259.0,91.0,"Acid proof ceramics, Steel liners and packing",7488.0,557323.0,96646.0,102000000000000.0,28324146.65,3782.605054,3.782605054
2016.0,3444.0,470.0,Metal Forming and Coating,6600.0,443446.0,95373.0,101000000000000.0,27951067.18,4235.010178,4.235010178
2017.0,3495.0,96.0,Automotive Coil Springs,7200.0,369380.0,94640.0,99900000000000.0,27736246.08,3852.2564,3.8522564
2017.0,4941.0,164.0,potable water,8760.0,383677.0,93948.0,99100000000000.0,27533440.9,3143.086861,3.143086861
1983.0,2851.0,230.0,COATINGS FOR PACKAGING,6000.0,499631.0,93066.0,98200000000000.0,27274952.22,4545.825369,4.545825369
2023.0,3469.0,330.0,Appliance control panels and semi-truck bumpers,6600.0,674757.0,92276.0,97400000000000.0,27043426.07,4097.488799,4.097488799
1993.0,2752.0,274.0,Labels,7000.0,303272.0,91761.0,96800000000000.0,26892494.47,3841.784924,3.841784924
2010.0,2711.0,212.0,advertisments,8760.0,538551.0,91122.0,96100000000000.0,26705222.06,3048.541331,3.048541331
1982.0,2841.0,400.0,SOAP AND SYNTHETICS,2080.0,316008.0,89423.0,94300000000000.0,26207294.31,12599.66073,12.59966073
2019.0,2013.0,400.0,Prepared Meat Products,7488.0,417777.0,88190.0,93000000000000.0,25845937.68,3451.64766,3.45164766
1987.0,3471.0,120.0,ALUMINUM BUMPERS,4200.0,460300.0,88050.0,92900000000000.0,25804907.73,6144.02565,6.14402565
1985.0,3479.0,165.0,REFRACTORY PRODUCTS,6000.0,486720.0,87871.0,92700000000000.0,25752448.01,4292.074668,4.292074668
2004.0,3999.0,675.0,Glass and candle products,6864.0,629359.0,87143.0,91900000000000.0,25539092.27,3720.730226,3.720730226
1990.0,3566.0,325.0,STEEL ROLLERS,6600.0,259979.0,86833.0,91600000000000.0,25448240.24,3855.793975,3.855793975
2003.0,3714.0,270.0,Radiators for medium and heavy duty trucks,6600.0,562630.0,85039.0,89700000000000.0,24922470.74,3776.13193,3.77613193
2014.0,2875.0,265.0,"Turf Building, Commercial Fertilizer, EZSeed",6240.0,496519.0,84462.0,89100000000000.0,24753368.73,3966.886014,3.966886014
1998.0,3714.0,1100.0,Fuel and oil filters,5800.0,354676.0,83991.0,88600000000000.0,24615332.25,4244.022803,4.244022803
1994.0,2754.0,200.0,flexible packaging for food industry,7000.0,244660.0,83827.0,88400000000000.0,24567268.6,3509.6098,3.5096098
