Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1004150,-,-,-,40.17,-82.78,-5,332,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2012,1,1,0,30,1.5,0,0,0,0.17,976,1.5,160,2.5
2012,1,1,1,30,1.6,0,0,0,0.17,975,1.6,156,2.9000000000000004
2012,1,1,2,30,1.7000000000000002,0,0,0,0.17,974,1.7000000000000002,154,3.3000000000000003
2012,1,1,3,30,1.7000000000000002,0,0,0,0.17,973,1.7000000000000002,153,3.4000000000000004
2012,1,1,4,30,1.7000000000000002,0,0,0,0.17,972,1.8,153,3.5
2012,1,1,5,30,1.8,0,0,0,0.17,971,1.9000000000000001,154,3.5
2012,1,1,6,30,2,0,0,0,0.17,970,2.4000000000000004,160,3.4000000000000004
2012,1,1,7,30,2.4000000000000004,0,0,0,0.17,969,3.2,167,3.5
2012,1,1,8,30,3.1,7,0,7,0.17,968,4.3,179,3.7
2012,1,1,9,30,4.1000000000000005,15,0,15,0.17,967,5.7,203,4.2
2012,1,1,10,30,5.7,15,0,15,0.17,967,6.9,228,5.1000000000000005
2012,1,1,11,30,6,67,0,67,0.17,967,7,244,6.300000000000001
2012,1,1,12,30,4.4,18,0,18,0.17,967,6.2,249,7.1000000000000005
2012,1,1,13,30,2.6,22,0,22,0.17,968,5.300000000000001,253,7.1000000000000005
2012,1,1,14,30,2,73,0,73,0.17,970,4.5,263,6.6000000000000005
2012,1,1,15,30,1.1,19,0,19,0.17,972,3.7,271,6
2012,1,1,16,30,-0.1,35,467,88,0.17,974,2.8000000000000003,272,5.5
2012,1,1,17,30,-1.5,0,0,0,0.17,975,1.8,272,5.4
2012,1,1,18,30,-3,0,0,0,0.17,976,1.3,272,5.5
2012,1,1,19,30,-4.2,0,0,0,0.73,977,-0.30000000000000004,272,5.1000000000000005
2012,1,1,20,30,-4.7,0,0,0,0.73,977,-1,270,5
2012,1,1,21,30,-4.7,0,0,0,0.73,977,-1.6,268,4.800000000000001
2012,1,1,22,30,-4.800000000000001,0,0,0,0.73,976,-2,267,4.800000000000001
2012,1,1,23,30,-5,0,0,0,0.73,976,-2.3000000000000003,266,4.800000000000001
2012,1,2,0,30,-5.300000000000001,0,0,0,0.73,976,-2.6,266,4.800000000000001
2012,1,2,1,30,-5.6000000000000005,0,0,0,0.73,976,-2.9000000000000004,264,4.7
2012,1,2,2,30,-5.6000000000000005,0,0,0,0.73,976,-3,264,4.6000000000000005
2012,1,2,3,30,-5.5,0,0,0,0.73,976,-3,264,4.5
2012,1,2,4,30,-5.4,0,0,0,0.73,976,-3.1,265,4.4
2012,1,2,5,30,-5.300000000000001,0,0,0,0.73,976,-3.2,265,4.2
2012,1,2,6,30,-5.4,0,0,0,0.73,975,-3.4000000000000004,266,4.1000000000000005
2012,1,2,7,30,-5.6000000000000005,0,0,0,0.73,975,-3.5,267,4.1000000000000005
2012,1,2,8,30,-5.800000000000001,30,0,30,0.73,976,-3.3000000000000003,270,4.3
2012,1,2,9,30,-6.2,89,33,97,0.73,976,-3.2,274,4.5
2012,1,2,10,30,-6.7,124,5,126,0.73,976,-3.1,276,4.6000000000000005
2012,1,2,11,30,-7.1000000000000005,132,0,132,0.73,976,-3.2,279,4.7
2012,1,2,12,30,-7.5,148,0,148,0.73,976,-3.4000000000000004,282,4.800000000000001
2012,1,2,13,30,-7.9,159,15,166,0.73,976,-3.6,285,4.9
2012,1,2,14,30,-8.1,154,191,224,0.73,977,-3.9000000000000004,288,4.800000000000001
2012,1,2,15,30,-8.200000000000001,50,0,50,0.73,977,-4.3,290,4.7
2012,1,2,16,30,-8.1,41,19,43,0.73,978,-4.5,290,4.5
2012,1,2,17,30,-7.800000000000001,0,0,0,0.73,979,-4.6000000000000005,290,4.5
2012,1,2,18,30,-7.4,0,0,0,0.73,979,-4.6000000000000005,291,4.5
2012,1,2,19,30,-7.2,0,0,0,0.8,979,-4.5,300,4.4
2012,1,2,20,30,-7.1000000000000005,0,0,0,0.8,980,-4.5,308,4.4
2012,1,2,21,30,-7.4,0,0,0,0.8,980,-4.6000000000000005,316,4.4
2012,1,2,22,30,-8.1,0,0,0,0.8,980,-4.9,322,4.4
2012,1,2,23,30,-9,0,0,0,0.8,981,-5.4,325,4.5
2012,1,3,0,30,-9.8,0,0,0,0.8,981,-5.7,325,4.4
2012,1,3,1,30,-10.100000000000001,0,0,0,0.8,982,-5.9,324,4.3
2012,1,3,2,30,-10.4,0,0,0,0.8,982,-6,323,4.2
2012,1,3,3,30,-10.700000000000001,0,0,0,0.8,983,-6.2,323,4.2
2012,1,3,4,30,-11.200000000000001,0,0,0,0.8,983,-6.6000000000000005,322,4.2
2012,1,3,5,30,-11.8,0,0,0,0.8,983,-7,321,4.3
2012,1,3,6,30,-12.4,0,0,0,0.8,984,-7.4,320,4.3
2012,1,3,7,30,-12.9,0,0,0,0.8,984,-7.5,320,4.3
2012,1,3,8,30,-13,33,406,70,0.8,985,-7.4,320,4.3
2012,1,3,9,30,-12.9,93,139,125,0.8,985,-7,319,4.4
2012,1,3,10,30,-12.8,132,20,139,0.8,985,-6.6000000000000005,318,4.5
2012,1,3,11,30,-12.700000000000001,168,32,182,0.8,985,-6.2,316,4.6000000000000005
2012,1,3,12,30,-12.600000000000001,136,0,136,0.8,985,-6,316,4.6000000000000005
2012,1,3,13,30,-12.600000000000001,191,164,262,0.8,984,-5.800000000000001,318,4.4
2012,1,3,14,30,-12.5,145,285,250,0.8,984,-5.7,319,4.1000000000000005
2012,1,3,15,30,-12.3,104,132,138,0.8,985,-5.9,319,3.6
2012,1,3,16,30,-12,41,18,44,0.8,985,-6.4,317,2.6
2012,1,3,17,30,-11,0,0,0,0.8,985,-7.300000000000001,311,1.4000000000000001
2012,1,3,18,30,-10.4,0,0,0,0.8,986,-7.9,307,0.9
2012,1,3,19,30,-10.700000000000001,0,0,0,0.8,986,-8.8,272,0.7000000000000001
2012,1,3,20,30,-11,0,0,0,0.8,986,-9.200000000000001,248,0.8
2012,1,3,21,30,-11.100000000000001,0,0,0,0.8,985,-9.4,228,1
2012,1,3,22,30,-11,0,0,0,0.8,984,-9.4,213,1.3
2012,1,3,23,30,-10.8,0,0,0,0.8,984,-9.4,208,1.6
2012,1,4,0,30,-10.700000000000001,0,0,0,0.8,984,-9.3,206,1.8
2012,1,4,1,30,-10.700000000000001,0,0,0,0.8,984,-9,197,2.1
2012,1,4,2,30,-10.700000000000001,0,0,0,0.8,984,-8.8,185,2.4000000000000004
2012,1,4,3,30,-10.5,0,0,0,0.8,983,-8.6,176,2.6
2012,1,4,4,30,-10.3,0,0,0,0.8,983,-8.5,171,2.8000000000000003
2012,1,4,5,30,-10.100000000000001,0,0,0,0.8,982,-8.3,169,3
2012,1,4,6,30,-9.9,0,0,0,0.8,981,-8,170,3.2
